timestamp,nx,ny,is_fixation
1766665233.0081666,0.4532504959279138,0.43709868436707344,0
1766665233.0779567,0.46114963769507894,0.4200655074797099,0
1766665233.143666,0.47955343409856693,0.40281991391615646,0
1766665233.2210417,0.49643445607234193,0.38597611660794245,0
1766665233.2966673,0.5072933696620489,0.3730106410959132,0
1766665233.3564098,0.5108952346257625,0.36212483161608405,0
1766665233.4228158,0.5165656441932096,0.3524463633019623,0
1766665233.500391,0.5225140440371902,0.3432657908739004,0
1766665233.5794582,0.5258688636854346,0.3339985561893308,0
1766665233.6548123,0.5263234463434944,0.3264382653465304,0
1766665233.7178452,0.5238244548713115,0.32085753625157953,0
1766665233.784144,0.5202831433894042,0.3175802938040014,0
1766665233.857218,0.5165307239192949,0.3153850742003435,0
1766665233.921166,0.513884291368341,0.31414982645005,0
1766665233.9852166,0.5114300214496148,0.31380001876795693,0
1766665234.049218,0.5095315799485687,0.31435645741050705,0
1766665234.1336088,0.5083810412812133,0.31550089827736255,1
1766665234.202235,0.5064588411450432,0.3178408619514093,0
1766665234.2644157,0.5020838415189356,0.31835264785915557,0
1766665234.330482,0.5002363440946276,0.31880295671192205,0
1766665234.395744,0.4985186101666609,0.3185585501091913,0
1766665234.4818115,0.49800983395029896,0.3182947200717834,1
1766665234.5537362,0.4990002919675917,0.3084759120115325,0
1766665234.6333022,0.5037947316318574,0.29785764119132446,0
1766665234.71221,0.5082454681828577,0.2854048811874165,0
1766665234.788071,0.5150544546761132,0.2723515480753905,0
1766665234.8501627,0.5191104756317467,0.26019747773939156,0
1766665234.9122906,0.5241798589806936,0.250510069610881,0
1766665234.9792054,0.5263079151867439,0.24249188219737153,0
1766665235.0593421,0.5292817837755716,0.23396043799310168,0
1766665235.1311028,0.5333823283214759,0.22776201722902328,0
1766665235.1926725,0.5339204444920203,0.22213103775896642,0
1766665235.260714,0.5328892902134289,0.2203923614292615,0
1766665235.336233,0.5313831944688302,0.2215965800171115,0
1766665235.3972921,0.528846111127016,0.22494189018977886,0
1766665235.4626315,0.5265914298281005,0.22924309692033606,0
1766665235.5253758,0.5257383953729018,0.23439819077445934,0
1766665235.5967972,0.5249958152643729,0.2409584563121248,0
