timestamp,pitch,yaw,abs_pitch,abs_yaw,nx,ny,is_edge
1767010194.235112,-0.026031595,0.04065949,0.026031595,0.04065949,0.5,0.5,1
1767010194.3293788,0.043899823,-0.031461045,0.043899823,0.031461045,0.55,0.467617797054543,1
1767010194.565977,-0.014895407,-0.043246925,0.014895407,0.043246925,0.46004070783279083,0.4790119144621521,1
1767010194.6401682,0.009999315,-0.051209368,0.009999315,0.051209368,0.46618665588856945,0.4720493744557568,1
1767010194.7221239,0.019423053,-0.06883211,0.019423053,0.06883211,0.46674307708100726,0.46741671235816057,1
1767010194.7966964,0.0125151705,-0.05986669,0.0125151705,0.05986669,0.46797543277943754,0.4705555080537113,1
1767010194.8767238,-0.030887514,-0.082680665,0.030887514,0.082680665,0.4706742903969683,0.4754273900837853,1
1767010194.939729,0.012792385,-0.08356611,0.012792385,0.08356611,0.472103053593636,0.4695365041892775,1
1767010195.0167482,0.006271298,-0.10758091,0.006271298,0.10758091,0.4761748297123608,0.47088160849966276,1
1767010195.0917628,0.07343301,0.0065452754,0.07343301,0.0065452754,0.4782923926712457,0.47523871657287325,1
1767010195.1727936,0.04957281,-0.016319178,0.04957281,0.016319178,0.47632948091040095,0.48420415535742656,1
1767010195.3188138,-0.012529471,-0.039767392,0.012529471,0.039767392,0.47264945133131264,0.5009075038961637,1
1767010195.3929973,-0.08381622,-0.044041373,0.08381622,0.044041373,0.47215499406000083,0.5073435366466023,1
1767010195.4711845,-0.047548965,-0.0136693865,0.047548965,0.0136693865,0.47578454596209874,0.49454111223706165,1
1767010195.5481925,-0.03901954,-0.04150799,0.03901954,0.04150799,0.47778871353573216,0.4834242878715412,1
1767010195.6252668,-0.059260424,-0.0737678,0.059260424,0.0737678,0.4777321007130598,0.4739605078395112,1
1767010195.7031279,-0.047694772,-0.04161693,0.047694772,0.04161693,0.4722330379179164,0.4670289021376605,1
1767010195.781146,-0.0054478524,-0.07891516,0.0054478524,0.07891516,0.46886042255425653,0.4602084582929685,1
1767010195.8634338,-0.003694388,-0.06501774,0.003694388,0.06501774,0.46913670650862604,0.45063387937245003,1
1767010195.9424522,0.13294528,0.046855748,0.13294528,0.046855748,0.46989651933668897,0.4409046605610202,1
1767010196.0184686,0.13635135,0.056050826,0.13635135,0.056050826,0.47369628275199704,0.4460849309414476,1
1767010196.0954916,0.012896052,-0.11269095,0.012896052,0.11269095,0.47519034669657734,0.4583649466908929,1
1767010196.17551,-0.0037417067,-0.13654631,0.0037417067,0.13654631,0.4727682622351752,0.4719219074060121,1
1767010196.258523,0.05891097,-0.051354162,0.05891097,0.051354162,0.4675214758309093,0.48605586404550816,1
1767010196.3345404,0.05698962,-0.056871854,0.05698962,0.056871854,0.4573025813286343,0.4987551961959293,1
1767010196.4113426,0.041836955,-0.097364165,0.041836955,0.097364165,0.4576569093637326,0.5106393869479499,1
